symbol,company_name,sector,industry,market_cap_category,exchange,beta,average_volume_90_days,has_dividend,ipo_year
FIX,Comfort Systems USA,Industrials,Construction & Engineering,Large,NYQ,1.602,421193.0,Yes,
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,Large,NYQ,-0.061,13530955.0,Yes,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.279,9442435.0,Yes,
ED,Consolidated Edison,Utilities,Multi-Utilities,Large,NYQ,0.345,2159044.0,Yes,
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,Large,NYQ,0.422,2392340.0,Yes,
CEG,Constellation Energy,Utilities,Electric Utilities,Large,NMS,1.107,3630144.0,Yes,
COO,Cooper Companies (The),Health Care,Health Care Supplies,Large,NMS,1.03,2076367.0,No,
CPRT,Copart,Industrials,Diversified Support Services,Large,NMS,1.106,9334449.0,No,
GLW,Corning Inc.,Information Technology,Electronic Components,Large,NYQ,1.022,10447738.0,Yes,
CPAY,Corpay,Financials,Transaction & Payment Processing Services,Large,NYQ,0.819,678022.0,No,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,Large,NYQ,0.721,3956255.0,Yes,
CSGP,CoStar Group,Real Estate,Real Estate Services,Large,NMS,0.902,6775854.0,No,
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,Large,NMS,0.993,2252254.0,Yes,
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.353,11437747.0,Yes,
CRH,CRH plc,Materials,Construction Materials,Large,NYQ,1.203,5152764.0,Yes,
CRWD,CrowdStrike,Information Technology,Systems Software,Large,NMS,1.124,3759049.0,No,
CCI,Crown Castle,Real Estate,Telecom Tower REITs,Large,NYQ,0.951,3279303.0,Yes,
CSX,CSX Corporation,Industrials,Rail Transportation,Large,NMS,1.263,13446164.0,Yes,
CMI,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,Large,NYQ,1.127,926583.0,Yes,
CVS,CVS Health,Health Care,Health Care Services,Large,NYQ,0.464,8648750.0,Yes,
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,Large,NYQ,0.964,3871379.0,Yes,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,Large,NYQ,0.599,1539572.0,Yes,
DDOG,Datadog,Information Technology,Application Software,Large,NMS,1.36,5740633.0,No,
DVA,DaVita,Health Care,Health Care Services,Large,NYQ,0.931,1095110.0,No,
DECK,Deckers Brands,Consumer Discretionary,Footwear,Large,NYQ,1.161,2639323.0,No,
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,Large,NYQ,0.961,1582128.0,Yes,
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",Large,NYQ,1.036,8067052.0,Yes,
DAL,Delta Air Lines,Industrials,Passenger Airlines,Large,NYQ,1.35,10096813.0,Yes,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.619,12977369.0,Yes,
DXCM,Dexcom,Health Care,Health Care Equipment,Large,NMS,1.526,4984888.0,No,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,Large,NMS,0.569,2686118.0,Yes,
DLR,Digital Realty,Real Estate,Data Center REITs,Large,NYQ,1.133,1999764.0,Yes,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,Large,NYQ,0.22,3140242.0,Yes,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,Large,NMS,0.692,3037574.0,No,
D,Dominion Energy,Utilities,Multi-Utilities,Large,NYQ,0.67,5705537.0,Yes,
DPZ,Domino's,Consumer Discretionary,Restaurants,Large,NMS,1.162,871044.0,Yes,
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,Large,NMS,1.902,4914052.0,No,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,Large,NYQ,1.249,1276867.0,Yes,
DOW,Dow Inc.,Materials,Commodity Chemicals,Large,NYQ,0.71,13560984.0,Yes,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,Large,NYQ,1.407,3012066.0,Yes,
DTE,DTE Energy,Utilities,Multi-Utilities,Large,NYQ,0.434,1507744.0,Yes,
DUK,Duke Energy,Utilities,Electric Utilities,Large,NYQ,0.466,4383220.0,Yes,
DD,DuPont,Materials,Specialty Chemicals,Large,NYQ,1.115,4686005.0,Yes,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,Large,NYQ,1.167,2868613.0,Yes,
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,Large,NMS,1.371,5166847.0,Yes,
ECL,Ecolab,Materials,Specialty Chemicals,Large,NYQ,0.979,1351798.0,Yes,
EIX,Edison International,Utilities,Electric Utilities,Large,NYQ,0.777,3414167.0,Yes,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,Large,NYQ,0.934,4312435.0,No,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,Large,NMS,0.754,2476201.0,Yes,
ELV,Elevance Health,Health Care,Managed Health Care,Large,NYQ,0.468,1880879.0,Yes,
EME,Emcor,Industrials,Construction & Engineering,Large,NYQ,1.14,373937.0,Yes,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,Large,NYQ,1.243,3315903.0,Yes,
ETR,Entergy,Utilities,Electric Utilities,Large,NYQ,0.602,2568428.0,Yes,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.427,5241979.0,Yes,
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,Large,NYQ,1.768,1146006.0,No,
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,Large,NYQ,0.722,10037313.0,Yes,
EFX,Equifax,Industrials,Research & Consulting Services,Large,NYQ,1.532,1728637.0,Yes,
EQIX,Equinix,Real Estate,Data Center REITs,Large,NMS,1.031,636169.0,Yes,
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,Large,NYQ,0.735,2554120.0,Yes,
ERIE,Erie Indemnity,Financials,Insurance Brokers,Large,NMS,0.411,217067.0,Yes,
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,Large,NYQ,0.722,539286.0,Yes,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,Large,NYQ,1.112,4009850.0,Yes,
EG,Everest Group,Financials,Reinsurance,Large,NYQ,0.326,360237.0,Yes,
EVRG,Evergy,Utilities,Electric Utilities,Large,NMS,0.604,2183013.0,Yes,
ES,Eversource Energy,Utilities,Electric Utilities,Large,NYQ,0.753,2574510.0,Yes,
EXC,Exelon,Utilities,Electric Utilities,Large,NMS,0.515,8610367.0,Yes,
